GSE100021	GSM2668015	cDNA	Rattus norvegicus	RNA-Seq	IGF1_1
GSE100021	GSM2668016	cDNA	Rattus norvegicus	RNA-Seq	IGF1_2
GSE100021	GSM2668017	cDNA	Rattus norvegicus	RNA-Seq	IGF1_3
GSE100021	GSM2668018	cDNA	Rattus norvegicus	RNA-Seq	IGF1_4
GSE100021	GSM2668019	cDNA	Rattus norvegicus	RNA-Seq	DsRed_1
GSE100021	GSM2668020	cDNA	Rattus norvegicus	RNA-Seq	DsRed_2
GSE100021	GSM2668021	cDNA	Rattus norvegicus	RNA-Seq	DsRed_3
GSE100021	GSM2668022	cDNA	Rattus norvegicus	RNA-Seq	DsRed_4
GSE100203	GSM2674552	cDNA	Rattus norvegicus	RNA-Seq	L1Toxo
GSE100203	GSM2674553	cDNA	Rattus norvegicus	RNA-Seq	L2Toxo
GSE100203	GSM2674554	cDNA	Rattus norvegicus	RNA-Seq	L3Toxo
GSE100203	GSM2674555	cDNA	Rattus norvegicus	RNA-Seq	L4Toxo
GSE100203	GSM2674556	cDNA	Rattus norvegicus	RNA-Seq	LEW1 PBS
GSE100203	GSM2674557	cDNA	Rattus norvegicus	RNA-Seq	LEW2 PBS
GSE100203	GSM2674558	cDNA	Rattus norvegicus	RNA-Seq	LEW3 PBS
GSE100203	GSM2674559	cDNA	Rattus norvegicus	RNA-Seq	LEW4 PBS
GSE100203	GSM2674560	cDNA	Rattus norvegicus	RNA-Seq	BN1Toxo
GSE100203	GSM2674561	cDNA	Rattus norvegicus	RNA-Seq	BN2Toxo
GSE100203	GSM2674562	cDNA	Rattus norvegicus	RNA-Seq	BN3Toxo
GSE100203	GSM2674563	cDNA	Rattus norvegicus	RNA-Seq	BN4Toxo
GSE100203	GSM2674564	cDNA	Rattus norvegicus	RNA-Seq	BN1 PBS
GSE100203	GSM2674565	cDNA	Rattus norvegicus	RNA-Seq	BN2 PBS
GSE100203	GSM2674566	cDNA	Rattus norvegicus	RNA-Seq	BN3 PBS
GSE100203	GSM2674567	cDNA	Rattus norvegicus	RNA-Seq	BN4 PBS
GSE100349	GSM2679007	cDNA	Rattus norvegicus	RNA-Seq	Rat-OB1-WTTS
